Product Name,Product Details,Price,Actual Price,Discount Percentage
"Kion Hand Blender 1200ml, 800W, KHR/5002, Black",,169.00SAR,SAR210.00,19% OFF
Moulinex JU550D27 Juice Extractor 800W 2L,,340.00SAR,,
Ariete Stand Fan - B084911ARAS,,215.00SAR,SAR299.00,28% OFF
"Geepas GCJ46013Uk 100W Citrus Juicer Electric Orange Juicer, Professional Brushed Stainless Steel Fruit Juicer, Squeezes OranGES Lemons Lime Juices, Freshly Pressed Fruit Juices In Seconds",,169.00SAR,SAR202.80,16% OFF
"DLC Snacks Popcorn Maker KSA-DLC-5406, Black",,116.00SAR,SAR122.40,5% OFF
Tefal FV1533M0 Access Easy Steam Iron Red 2100W,,169.00SAR,,
"ATC Vacuum Cleaner, 18 Liter",,173.00SAR,SAR199.00,13% OFF
"Krypton 3-In-1 Multi Snacks Maker, With Detachable Plates, Knsm6300, Pf Housing With S/S Insert, Cool Touch Handle & Anti-Slip Feet, Non-Stick Cooking Plates, Power & Ready Indicators",,165.00SAR,SAR198.00,16% OFF
"Moulinex the Genuine Blender, 1.75L, 500W, LM242B28, White",,209.00SAR,SAR249.00,16% OFF
Tefal CB6A0827 Plancha Electric Smokeless Grill Lid Black,,399.00SAR,,
"Sencor SFR 3220Wh Electric Air Fryer 2.6 Liter, White - Sfr41005980",,199.00SAR,SAR439.00,54% OFF
Philips chopper hr139301,,139.00SAR,,
"Krawn 7-Speed Hand Mixer 120W KW-49001, White",,69.00SAR,SAR80.00,13% OFF
Kenwood Hand Mixer 250W OWHM330,,155.00SAR,,
"Clikon gas table 2 burner, CK4268, Black/Silver",,179.00SAR,SAR249.00,28% OFF
"Delonghi espresso machine coffee maker, 1.1L, 1350W, DLEC685.M , silver",,729.00SAR,"SAR1,199.00",39% OFF
"Dots Electric Healthy Air Fryer For Fry/Grill/Bake/Roast, 4.5L, 1500W, 359, Black",,265.00SAR,SAR389.00,31% OFF
"Keune Taste Chopper, 500 ml",,79.00SAR,SAR92.00,14% OFF
"ATC Glass Kettle, 1.8 Liter, 2200 Watts, H-Ke857, Black",,74.00SAR,SAR99.00,25% OFF
Alsaif Granite Pressure Cooker 10L,,185.00SAR,SAR299.00,38% OFF
Nikai NEM1690A Coffee Machine Black 850W 1.5L,,159.00SAR,SAR289.00,44% OFF
Panasonic Water Dispensers Bottom Load SDM-WD3438BG,,849.00SAR,"SAR1,289.00",34% OFF
