Product Name,Product Details,Price,Actual Price,Discount Percentage
"DLC Portable Amplifier Speaker 5, 10Watts -White",,115.00SAR,SAR199.00,42% OFF
Twisted Minds W104 Professional Gaming USB Condenser Microphone - Black,,310.00SAR,SAR401.00,22% OFF
Redragon GM300 Gaming Stream Microphone,,418.87SAR,SAR450.00,6% OFF
"JBL Charge 5 Portable Speaker, Built-In Powerbank, Powerful JBL Pro Sound, Dual Bass Radiators, 20H Of Battery, IP67 Waterproof And Dustproof, Wireless Streaming, Dual Connect, Black",,869.00SAR,,
JBL Flip 5 Portable Speaker Waterproof Wireless Bluetooth - White - JBLflip5Wht,,450.00SAR,,
"Crony Quran Led Lamp With Speaker, Sq-102",,75.00SAR,SAR99.00,24% OFF
Generic Portable Bluetooth Speaker Gold/Black,,28.00SAR,SAR30.00,6% OFF
Generic Portable Bluetooth Speaker Black,,30.00SAR,SAR35.00,14% OFF
Generic Quran Recitation Speaker And Translation With Remote Control - Black,,78.00SAR,SAR90.00,13% OFF
"JBL Xtreme 2 Portable Wireless Speaker, Blue",,899.00SAR,,
Dlc Bluetooth Portable Radio 32216B Brown/Gold/Black,,70.00SAR,,
DLC Portable Card Speaker Black/Red,,35.00SAR,SAR55.00,36% OFF
Sundus Speaker Quran,,149.20SAR,,
Dlc Portable Radio With Remote Control Dlc-137R Red,,99.00SAR,SAR199.00,50% OFF
Margoun Bluetooth Karaoke Microphone Ws-858 Silver,,67.00SAR,,
"Quran Telawah Mix Colors Led Lamp Quran Speaker Sq-501P| Full Recitations Of Famous Imams And Quran Translation In Many Languages Including English, Arabic, Urdu & More",,79.00SAR,SAR99.00,20% OFF
Wsmla Bluetooth Speakers Remote Control Speaker Portable Quran Speaker Mp3 Player 8Gb Tf Fm Quran Koran Translator USB Rechargeable Speaker,,69.00SAR,SAR88.00,21% OFF
Anker Sound Core Mini 2 Bluetooth Speaker Blue,,189.00SAR,SAR256.00,26% OFF
Dlc Usb Radio Dlc32213 Gold/Brown/Black,,84.00SAR,SAR166.00,49% OFF
Crony Bluetooth Quran Speaker White,,129.00SAR,SAR145.00,11% OFF
Q7 Bluetooth Microphone Speaker Gold,,39.00SAR,SAR45.00,13% OFF
DLC Mini Bluetooth Speaker Black/Red,,65.00SAR,,
Generic Q7 Bluetooth Karaoke Microphone With Speaker Wireless-Microphone-Black Black/White,,39.00SAR,SAR45.00,13% OFF
Generic Bluetooth Karaoke Microphone Ws-858 Gold/Silver,,65.00SAR,,
Generic Bluetooth Karaoke Microphone Ws-858 Blue/Gold,,67.00SAR,,
Generic Quran Led Lamp With Speaker - White (Sq-102),,109.00SAR,SAR115.00,5% OFF
"Sundus Teach Me, Quran Speaker",,129.00SAR,,
Dlc Mini Bluetooth Radio Speaker Brown/Black/Silver,,84.00SAR,SAR199.00,57% OFF
Generic Bluetooth Microphone Ws-858 Gold/Silver,,39.00SAR,SAR50.00,22% OFF
Sundus Speaker Quran 16GB,,170.00SAR,,
Sundus Led Book Light Quran Speaker,,299.00SAR,,
Generic Q7 Bluetooth Microphone With Speaker 6325+6485652 Black/White,,38.00SAR,SAR45.00,15% OFF
Anker Sound Core Mini 2 Bluetooth Speaker Red,,189.00SAR,SAR256.00,26% OFF
Dlc Bluetooth Radio Speaker Brown/Black/Silver,,73.00SAR,SAR100.00,27% OFF
Dlc Portable Radio Bluetooth Speaker With Remote White/Black/Grey,,79.00SAR,SAR149.00,46% OFF
Dlc Rechargeable Usb And Bluetooth Speaker Blue/Black,,79.46SAR,,
Dlc Bluetooth Portable Radio 32215B Brown/Black/Silver,,97.50SAR,,
Dlc Portable Bluetooth Radio Speaker Black/Silver,,98.00SAR,SAR199.00,50% OFF
"Krypton Radio Rechargeable With An Emergency, Knr5095 Lamp",,79.00SAR,SAR100.00,21% OFF
Sundus Smart Audio Quran Speaker,,299.00SAR,,
Sundus Quran Speaker - Light,,289.50SAR,,
Dlc Portable Bear Shape Bluetooth Speaker Pink,,164.00SAR,SAR299.00,45% OFF
Voberry Bluetooth Speakers Party Stage Effect LED Lighting Ball Multicolour 20X18X18cm,,49.00SAR,SAR68.57,28% OFF
Generic Quran LED Lamp Bluetooth Speaker With Remote White/Gold,,89.00SAR,SAR120.00,25% OFF
Generic Vintage Style Wireless Bluetooth Speaker V5758Br001 Multicolour,,71.00SAR,SAR82.90,14% OFF
Wster Bluetooth Karaoke Microphone Ws-858 Gold/White,,63.00SAR,,
Generic Bluetooth Karaoke Wired Microphone 182.28749942.18 Gold/White,,37.00SAR,,
Generic Q7 Bluetooth Karaoke Microphone With Speaker Q7 Gold/White,,44.00SAR,,
Generic Q7 Wireless Karaoke Microphone Gold/White,,37.00SAR,,
Generic Feelmax LED Bluetooth Speaker With Remote Control Black,,68.00SAR,,
Generic 2-In-1 LED Bluetooth Speaker Crystal Magic Ball Light With Accessory Multicolour 7centimeter,,48.00SAR,SAR68.90,30% OFF
Generic Bluetooth Control Smart Music Audio Speaker LED Music Bulb White 95x95x130centimeter,,33.00SAR,SAR59.03,44% OFF
DLC Mini Bluetooth Radio Speaker Brown/Black/Silver,,64.00SAR,SAR199.00,67% OFF
DLC Classic Portable Wireless Speaker Brown/Black/Silver,,74.00SAR,SAR86.20,14% OFF
"Generic DLC Radio Bluetooth And SD, USB Slot Aux",,84.00SAR,SAR95.00,11% OFF
Generic Ws-858 Wireless Karaoke Microphone Ws-858-Gold Gold/White,,63.00SAR,,
Generic Wireless Bluetooth Karaoke Microphone Ws-858 Rose Gold,,64.20SAR,,
Sundus Azan Clock Speaker,,403.35SAR,,
Generic Ws-858 Wireless Karaoke Handheld Microphone Black/Silver,,63.50SAR,,
Dlc Bluetooth Radio Speaker Brown/Black/Silver,,79.00SAR,SAR85.00,7% OFF
Dlc USB Rechargable Radio Dlc-32202 Black/Red,,87.00SAR,SAR120.00,27% OFF
DLC Bluetooth Radio Speaker Brown/Black/Silver,,68.00SAR,SAR77.47,12% OFF
DLC Mini Bluetooth Radio Speaker Brown/Black/Silver,,85.00SAR,SAR121.00,29% OFF
"Generic DLC Radio Bluetooth And SD, USB Slot Aux",,109.00SAR,SAR199.00,45% OFF
"Generic DLC Radio Bluetooth And SD, USB Slot Aux",,73.00SAR,SAR149.00,51% OFF
Generic 4 Ways Universal Plug Ac/Dc Adapter Input: AC 220-240V Output:Dc3/4.5/6/7.5/9/12/15V New Plug & Cd Player Plug Na-1000S/R/Bw LED Indicator 1000mA,,98.99SAR,,
Generic 4 Ways Universal Plug Ac/Dc Adapter Input: AC 220-240V Output:Dc3/4.5/6/7.5/9/12/15V New Plug & Cd Player Plug Na-1000S/R/Bw LED Indicator 1000mA,,99.99SAR,,
Generic Bluetooth Karaoke Microphone Ws-858 Gold/Silver,,64.00SAR,,
Dlc Bluetooth Radio Speaker Brown/Black/Silver,,83.00SAR,SAR98.75,15% OFF
Dlc Bluetooth Radio Speaker Brown/Black/Silver,,79.00SAR,SAR98.75,20% OFF
Dlc Mini Bluetooth Radio Speaker Brown/Black/Silver,,97.00SAR,SAR199.00,51% OFF
Dlc Radio Shaped Bluetooth Speaker Black/Silver,,99.00SAR,SAR199.00,50% OFF
Wster Karaoke Microphone - Bluetooth Ws-858 / Gold / White - Ws-858,,64.10SAR,,
Dlc Radio - Usb - Gold / Brown / Black - Dlc32213,,91.00SAR,SAR199.00,54% OFF
Sundus Touch Lamp Portable Speaker,,315.95SAR,,
Generic Retro Wireless Bluetooth Speaker Gold/Brown,,98.00SAR,SAR164.30,40% OFF
Generic Ws-858 Wireless Karaoke Microphone Ws-858-Gold Gold/White,,64.00SAR,,
Jbl Charge3 Bluetooth Speaker Grey,,724.00SAR,SAR868.60,16% OFF
Generic Ws-858 Wireless Handheld Karaoke Microphone Paa2385B_P Black,,65.00SAR,,
Generic Portable Wireless Bluetooth Speaker With Ir Remote Control And LED Light White,,49.00SAR,SAR121.13,59% OFF
Generic Retro Wireless Bluetooth Speaker Brown/Black/Gold,,98.00SAR,SAR213.80,54% OFF
Generic Ws-858 Wireless Handheld Karaoke Microphone Paa2385G_P Gold,,63.95SAR,,
"Generic Wireless Karaoke Handheld Microphone Bluetooth With USB Ktv Player, Ws858, Gold 1553098147-180 Gold/Silver",,63.00SAR,,
Generic Wireless Bluetooth Handheld Karaoke Microphone Ws-858 Black,,65.00SAR,,
Generic Q7 Bluetooth Wireless Karaoke Microphone With Built-In Speaker Nf06159555 Pink/White,,40.00SAR,SAR50.00,20% OFF
Generic Bluetooth Karaoke Microphone Ws-858 Blue/Gold,,67.00SAR,,
Generic Bluetooth Karaoke Microphone Ws-858 Blue/Gold,,65.00SAR,,
Q7 Bluetooth Wireless Karaoke Microphone 1553104233-1858 Gold/Silver/White,,42.00SAR,SAR50.00,16% OFF
Generic Bluetooth Karaoke Microphone Ws858 Gold/Silver,,55.00SAR,,
Generic Vintage Style Wireless Bluetooth Speaker V5758K001 Multicolour,,71.00SAR,SAR85.10,16% OFF
Generic 3.5mm Stereo Audio Jack Earphone 2 Way U Splitter Adapter Red,,30.00SAR,SAR70.80,57% OFF
Generic Bluetooth Karaoke Microphone Ws-858 Pink,,63.00SAR,,
