Product Name,Product Details,Price,Actual Price,Discount Percentage
LED 50 UA50AU7000UXUM 4K SAMSUNG,,"1,999.00SAR","SAR3,199.00",37% OFF
"Samsung 65 Inch TV, Neo QLED 4K, Quantum HDR 32X, Dolby Atmos, Audio Smart Hub With 8 Speakers And In-Built Woofer, Mini LED, QA65QN90BAUXSA 2022, Titan Black",,"6,499.00SAR","SAR16,999.00",61% OFF
"Krypton LED LCD TV Wall Mount Bracket, 10-42"", High Durability, Vesa Max 200X200mm, Safety Screw",,36.00SAR,SAR43.20,16% OFF
"Skyworth 65 Inch 4K UHD MiniLED Google TV, 120Hz, 65SUE9600",,"4,099.00SAR","SAR8,499.00",51% OFF
"Datazone Portable LED Projector Full HD Support 1080P Dz-1200, White",,465.00SAR,,
Hisense 75-Inch 4K Quantum ULED Smart Google TV,,"4,999.00SAR","SAR11,999.00",58% OFF
"Android tv sharp, 50 Inch, , 4K HDR led , 4T-C50DL6NX",,"2,099.00SAR",,
"Samsung 75 Inch TV, QLED 4K, Quantum HDR, Object Tracking, Sound Lite Smart Hub With 2 Speakers, Dual LED, Smart Calibration, QA75Q70BAUXSA, 2022, Titan Gray",,"6,299.00SAR","SAR13,499.00",53% OFF
"Skyworth 75 Inch 4K UHD MiniLED Google TV, 120Hz, 75SUE9600",,"5,399.00SAR","SAR9,999.00",46% OFF
LED 55 UA55AU7000UXUM 4K SAMSUNG,,"1,799.00SAR","SAR3,999.00",55% OFF
"Samsung 85 Inch UHD 4K Smart TV, AU7000, 2021",,"6,299.00SAR","SAR12,999.00",51% OFF
"Samsung 55 Inch TV 4K QLED, Quantum HDR, Object Tracking, Sound Lite Smart Hub With 2 Speakers, Dual LED, Smart Calibration, QA55Q70BAUXSA, 2022, Titan Gray",,"3,099.00SAR","SAR6,799.00",54% OFF
TCL LED 55 55P615 ANDROID 4K,,"2,350.00SAR",,
"Samsung 55 Inch 4K HDR QLED Smart TV, QA55Q60ABUXUM, Black",,"3,199.00SAR","SAR5,999.00",46% OFF
"Samsung 65 Inch Frame TV, QLED 4K Processor, Slim Look, PQI 3400, HDR 10+, Mega Contrast, 100% Color Volume, Built In Receiver, QA65LS03AAUXUM (2021)",,"5,999.00SAR","SAR9,999.00",40% OFF
