S,SKU,fullName,requestedQuantityNew,totalRevenueNet,totalRevenueGrossSAR,jda122Price,priceDifference,source
52,5742145,Heinz Tomato Ketchup Top Down Squeezy Bottle 910g,51,1122.45,1122.45  SAR,28.95,Not found in the first array,Beverages - Coffee.csv
8,5830465,Tanmiah Fresh Boneless Chicken Breast 450g,110,2502.5,2502.50  SAR,22.75,-2.5,Beverages - Coffee.csv
37,5889105,Fresh Eggs 30 pc,561,10354.05,,22.95,Not found in the first array,Beverages - Coffee.csv
35,5903930,Aquafina Bottled Drinking Water 30*330ml,148,1339.65,1348.60  SAR,15,Not found in the first array,Beverages - Coffee.csv
41,8034315,Best of Our Minis Assorted Chocolates 710g,42,1233.95,1318.85  SAR,61,Not found in the first array,Beverages - Coffee.csv
30,9039860,Arwa Drinking Water 40*330ml,85,1451.3,1451.30  SAR,19.95,Not found in the first array,Beverages - Coffee.csv
93,9074825,Halloumi Regular Cheese 250 g,530,4161.2,,18.5,Not found in the first array,Beverages - Coffee.csv
65,9103635,Breik 1 pc,625,793.5,,1.5,Not found in the first array,Beverages - Coffee.csv
100,9174495,Foom Superior Flour 1kg,69,224.25,,3.25,Not found in the first array,Beverages - Coffee.csv
75,9176775,Maltesers Chocolate 175g,73,942,942.00  SAR,18.95,Not found in the first array,Beverages - Coffee.csv
57,9351615,Premium Fresh Chilled Chicken 1 kg,449,8163.25,,21.25,Not found in the first array,Beverages - Coffee.csv
20,9662965,Alpro Coconut Milk for Professionals - Barista 1L,118,1703.3,1733.75  SAR,26.95,Not found in the first array,Beverages - Coffee.csv
91,9736091,Al Batal Butter Popcorn 10*23g,73,652.9,,10.95,Not found in the first array,Beverages - Coffee.csv
90,9755700,Natural Apple Juice 24*180 ml,256,6281.8,,32.95,Not found in the first array,Beverages - Coffee.csv
94,9962285,Cheetos Flamin Hot Crunchy Snacks 200g,71,455.45,,8.95,Not found in the first array,Beverages - Coffee.csv
45,10026275,iPhone 14 Pro Max, 5G, 256GB, Deep Purple,2,9758,,5799,Not found in the first array,Beverages - Coffee.csv
80,10159365,L'usine Brown Multigrain Sliced Bread 600g,80,560,,7,Not found in the first array,Beverages - Coffee.csv
